time_period,time_identifier,geographic_level,country_code,country_name,characteristic_group,characteristic,school_type,gender,no_schools,t_mtc_eligible_pupils,t_mtc_pupils_completed_check,t_mtc_eligible_pupils_not_completed_check,t_mtc_scored_25,t_mtc_scored_24,t_mtc_scored_23,t_mtc_scored_22,t_mtc_scored_21,t_mtc_scored_20,t_mtc_scored_19,t_mtc_scored_18,t_mtc_scored_17,t_mtc_scored_16,t_mtc_scored_15,t_mtc_scored_14,t_mtc_scored_13,t_mtc_scored_12,t_mtc_scored_11,t_mtc_scored_10,t_mtc_scored_9,t_mtc_scored_8,t_mtc_scored_7,t_mtc_scored_6,t_mtc_scored_5,t_mtc_scored_4,t_mtc_scored_3,t_mtc_scored_2,t_mtc_scored_1,t_mtc_scored_0,t_mtc_absent,t_mtc_unable_to_participate,t_mtc_working_below,t_mtc_just_arrived,t_mtc_missing_reason,t_mtc_sum_scores,mtc_average_score,pt_mtc_eligible_pupils_completed_check,pt_mtc_eligible_pupils_not_completed_check,pt_mtc_scored_25,pt_mtc_scored_24,pt_mtc_scored_23,pt_mtc_scored_22,pt_mtc_scored_21,pt_mtc_scored_20,pt_mtc_scored_19,pt_mtc_scored_18,pt_mtc_scored_17,pt_mtc_scored_16,pt_mtc_scored_15,pt_mtc_scored_14,pt_mtc_scored_13,pt_mtc_scored_12,pt_mtc_scored_11,pt_mtc_scored_10,pt_mtc_scored_9,pt_mtc_scored_8,pt_mtc_scored_7,pt_mtc_scored_6,pt_mtc_scored_5,pt_mtc_scored_4,pt_mtc_scored_3,pt_mtc_scored_2,pt_mtc_scored_1,pt_mtc_scored_0,pt_mtc_absent,pt_mtc_unable_to_participate,pt_mtc_working_below,pt_mtc_just_arrived,pt_mtc_missing_reason
202122,Academic year,National,E92000001,England,School type,Total,Mainstream free schools,Total,205,9141,8932,209,3031,1279,713,571,457,366,300,262,297,243,224,196,172,142,132,119,94,78,53,60,34,32,15,15,17,30,51,25,102,7,24,186979,20.9,98,2,33,14,8,6,5,4,3,3,3,3,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0
202122,Academic year,National,E92000001,England,School type,Total,Mainstream LA maintained schools,Boys,9529,193397,186975,6422,54823,23634,14712,11111,9345,8190,7393,6688,6274,5836,5407,5142,4561,4165,3907,3289,2797,2321,1786,1359,978,801,633,472,521,830,1047,894,3932,154,395,3755627,20.1,97,3,28,12,8,6,5,4,4,3,3,3,3,3,2,2,2,2,1,1,1,1,1,0,0,0,0,0,1,0,2,0,0
202122,Academic year,National,E92000001,England,School type,Total,Mainstream LA maintained schools,Girls,9503,187154,182508,4646,46575,21959,14038,10973,9073,8262,7486,7134,6810,6402,6122,5895,5434,4987,4435,3824,3212,2667,1954,1380,935,747,551,430,495,728,980,446,2704,172,344,3575036,19.6,98,2,25,12,8,6,5,4,4,4,4,3,3,3,3,3,2,2,2,1,1,1,0,0,0,0,0,0,1,0,1,0,0
202122,Academic year,National,E92000001,England,School type,Total,Mainstream LA maintained schools,Total,9547,380551,369483,11068,101398,45593,28750,22084,18418,16452,14879,13822,13084,12238,11529,11037,9995,9152,8342,7113,6009,4988,3740,2739,1913,1548,1184,902,1016,1558,2027,1340,6636,326,739,7330663,19.8,97,3,27,12,8,6,5,4,4,4,3,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0,0,1,0,2,0,0
202122,Academic year,National,E92000001,England,School type,Total,Mainstream sponsored academies,Boys,1641,35934,34486,1448,9674,4053,2521,1862,1616,1426,1285,1239,1134,1079,1079,984,886,868,783,723,630,556,488,351,252,210,202,153,154,278,296,233,804,41,74,670328,19.4,96,4,27,11,7,5,4,4,4,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,0,0,1,1,1,2,0,0
202122,Academic year,National,E92000001,England,School type,Total,Mainstream sponsored academies,Girls,1643,34618,33663,955,8313,3621,2328,1821,1607,1460,1335,1302,1275,1200,1151,1117,1120,987,891,858,728,618,501,352,246,179,148,104,155,246,224,103,536,29,63,638514,19,97,3,24,10,7,5,5,4,4,4,4,3,3,3,3,3,3,2,2,2,1,1,1,1,0,0,0,1,1,0,2,0,0
202122,Academic year,National,E92000001,England,School type,Total,Mainstream sponsored academies,Total,1647,70552,68149,2403,17987,7674,4849,3683,3223,2886,2620,2541,2409,2279,2230,2101,2006,1855,1674,1581,1358,1174,989,703,498,389,350,257,309,524,520,336,1340,70,137,1308842,19.2,97,3,25,11,7,5,5,4,4,4,3,3,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,1,1,0,2,0,0
202122,Academic year,National,E92000001,England,School type,Total,State-funded mainstream schools,Boys,15621,327189,316348,10841,93481,39790,24799,18499,15498,13623,12288,11267,10471,9708,9188,8595,7806,7139,6461,5604,4737,4145,3212,2354,1704,1433,1162,859,949,1576,1946,1544,6476,248,627,6342084,20,97,3,29,12,8,6,5,4,4,3,3,3,3,3,2,2,2,2,1,1,1,1,1,0,0,0,0,0,1,0,2,0,0
202122,Academic year,National,E92000001,England,School type,Total,State-funded mainstream schools,Girls,15598,316486,308672,7814,79500,36803,23540,18317,15327,13819,12612,11971,11378,10714,10233,9884,9238,8347,7421,6532,5499,4681,3472,2427,1622,1263,1022,772,909,1369,1744,787,4437,258,588,6036935,19.6,98,2,25,12,7,6,5,4,4,4,4,3,3,3,3,3,2,2,2,1,1,1,1,0,0,0,0,0,1,0,1,0,0
202122,Academic year,National,E92000001,England,School type,Total,State-funded mainstream schools,Total,15657,643675,625020,18655,172981,76593,48339,36816,30825,27442,24900,23238,21849,20422,19421,18479,17044,15486,13882,12136,10236,8826,6684,4781,3326,2696,2184,1631,1858,2945,3690,2331,10913,506,1215,12379019,19.8,97,3,27,12,8,6,5,4,4,4,3,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0,0,1,0,2,0,0
202122,Academic year,National,E92000001,England,School type,Total,State-funded schools,Boys,16330,333626,316933,16693,93497,39810,24810,18504,15514,13635,12300,11288,10491,9728,9210,8617,7840,7166,6490,5635,4762,4176,3231,2376,1730,1453,1189,874,977,1630,1965,1888,10716,249,1875,6348289,20,95,5,28,12,7,6,5,4,4,3,3,3,3,3,2,2,2,2,1,1,1,1,1,0,0,0,0,0,1,1,3,0,1
202122,Academic year,National,E92000001,England,School type,Total,State-funded schools,Girls,16202,318633,308755,9878,79502,36804,23540,18318,15328,13820,12615,11973,11381,10714,10239,9887,9239,8348,7426,6537,5503,4686,3477,2429,1625,1267,1028,776,915,1378,1746,896,5911,259,1066,6037664,19.6,97,3,25,12,7,6,5,4,4,4,4,3,3,3,3,3,2,2,2,1,1,1,1,0,0,0,0,0,1,0,2,0,0
202122,Academic year,National,E92000001,England,School type,Total,State-funded schools,Total,16371,652259,625688,26571,172999,76614,48350,36822,30842,27455,24915,23261,21872,20442,19449,18504,17079,15514,13916,12172,10265,8862,6708,4805,3355,2720,2217,1650,1892,3008,3711,2784,16627,508,2941,12385953,19.8,96,4,27,12,7,6,5,4,4,4,3,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0,0,1,0,3,0,0
202122,Academic year,National,E92000001,England,School type,Total,State-funded schools and alternative provision,Boys,16402,333861,317060,16801,93499,39813,24812,18506,15514,13637,12301,11290,10492,9733,9213,8626,7843,7173,6496,5645,4772,4185,3238,2381,1731,1458,1195,882,983,1642,1978,1905,10763,249,1906,6349459,20,95,5,28,12,7,6,5,4,4,3,3,3,3,3,2,2,2,2,1,1,1,1,1,0,0,0,0,0,1,1,3,0,1
